fence_id,start_date,start_time,wait_minutes
1,2025-03-21,2025-03-21 12:15:20,2842.866666666667
1,2025-03-27,2025-03-27 19:52:07,1076.1166666666666
1,2025-03-28,2025-03-28 18:45:42,17275.033333333333
1,2025-04-12,2025-04-12 18:12:22,2719.6
1,2025-04-14,2025-04-14 15:43:45,22.733333333333334
1,2025-04-14,2025-04-14 17:43:45,30.583333333333332
1,2025-04-28,2025-04-28 16:14:43,8428.5
1,2025-05-04,2025-05-04 13:05:30,59.78333333333333
2,2025-03-22,2025-03-22 19:44:04,961.1
2,2025-03-28,2025-03-28 19:42:41,33.0
2,2025-03-28,2025-03-28 20:24:34,6.166666666666667
2,2025-04-14,2025-04-14 15:30:02,49.583333333333336
3,2025-03-25,2025-03-25 13:58:42,226.03333333333333
3,2025-03-27,2025-03-27 18:41:38,46.9
3,2025-03-27,2025-03-27 20:35:08,1045.7
3,2025-03-28,2025-03-28 18:54:04,18703.683333333334
5,2025-03-25,2025-03-25 12:04:01,115.95
6,2025-03-28,2025-03-28 17:47:03,17333.683333333334
7,2025-03-20,2025-03-20 18:40:55,10029.816666666668
7,2025-03-27,2025-03-27 20:36:03,1344.9666666666667
7,2025-03-28,2025-03-28 19:32:17,17.516666666666666
7,2025-04-14,2025-04-14 15:20:37,56.4
7,2025-04-28,2025-04-28 14:33:05,160.38333333333333
8,2025-03-27,2025-03-27 18:49:57,87.15
8,2025-03-27,2025-03-27 20:34:42,18606.033333333333
9,2025-03-22,2025-03-22 20:31:45,4195.083333333333
9,2025-03-27,2025-03-27 18:22:27,1199.5833333333333
9,2025-03-28,2025-03-28 18:07:36,128.08333333333334
9,2025-03-28,2025-03-28 20:30:45,17169.983333333334
9,2025-04-12,2025-04-12 18:26:48,2756.9166666666665
9,2025-04-28,2025-04-28 16:05:19,70.03333333333333
11,2025-03-25,2025-03-25 19:16:53,2793.85
11,2025-03-27,2025-03-27 19:07:13,50.5
11,2025-04-10,2025-04-10 19:10:04,2812.6833333333334
12,2025-05-04,2025-05-04 12:52:51,6.333333333333333
13,2025-03-27,2025-03-27 17:35:44,15.0
14,2025-03-23,2025-03-23 12:31:26,2768.5666666666666
14,2025-03-25,2025-03-25 18:25:08,74.61666666666666
14,2025-03-27,2025-03-27 18:10:42,1449.6
14,2025-03-28,2025-03-28 18:34:56,20.45
14,2025-04-10,2025-04-10 19:10:58,2792.3
14,2025-04-14,2025-04-14 16:17:14,85.95
17,2025-03-22,2025-03-22 19:38:18,4299.75
17,2025-04-12,2025-04-12 17:42:58,31495.416666666668
18,2025-03-25,2025-03-25 12:05:36,153.51666666666668
18,2025-04-15,2025-04-15 10:45:35,27480.533333333333
19,2025-04-10,2025-04-10 18:33:58,24.066666666666666
21,2025-03-20,2025-03-20 18:44:14,3929.9333333333334
21,2025-03-25,2025-03-25 13:54:49,281.78333333333336
21,2025-03-28,2025-03-28 14:07:28,17553.266666666666
22,2025-03-20,2025-03-20 18:26:41,6946.716666666666
22,2025-03-27,2025-03-27 18:15:16,18745.466666666667
23,2025-03-25,2025-03-25 19:12:34,2798.1666666666665
23,2025-03-27,2025-03-27 18:24:56,64.38333333333334
23,2025-03-28,2025-03-28 18:10:12,110.61666666666666
23,2025-04-14,2025-04-14 16:20:08,20058.566666666666
24,2025-03-28,2025-03-28 19:56:29,4.333333333333333
25,2025-03-28,2025-03-28 19:44:09,17216.583333333332
26,2025-03-28,2025-03-28 19:56:29,4.333333333333333
29,2025-04-14,2025-04-14 16:00:13,28717.35
31,2025-03-25,2025-03-25 19:45:48,2735.3333333333335
31,2025-03-27,2025-03-27 17:33:03,17.683333333333334
31,2025-03-27,2025-03-27 18:06:38,111.08333333333333
31,2025-03-28,2025-03-28 13:32:27,17588.283333333333
31,2025-04-10,2025-04-10 19:11:31,2816.2
31,2025-04-14,2025-04-14 18:34:47,28465.916666666668
33,2025-03-25,2025-03-25 13:41:29,3129.25
36,2025-03-25,2025-03-25 19:37:27,2773.2833333333333
