id,fence_id,status,message_time,image
396,1,open,2025-03-28 14:01:59,/static/images/open.png
397,21,closed,2025-03-28 14:07:28,/static/images/closed.png
398,9,open,2025-03-28 14:22:02,/static/images/open.png
399,23,open,2025-03-28 17:45:34,/static/images/open.png
400,6,sever_traffic_jam,2025-03-28 17:47:03,/static/images/traffic.png
401,7,closed,2025-03-28 17:51:22,/static/images/closed.png
402,7,closed,2025-03-28 17:53:22,/static/images/closed.png
403,3,open,2025-03-28 18:06:52,/static/images/open.png
404,9,closed,2025-03-28 18:07:36,/static/images/closed.png
405,23,closed,2025-03-28 18:10:12,/static/images/closed.png
406,12,open,2025-03-28 18:11:04,/static/images/open.png
407,14,open,2025-03-28 18:20:18,/static/images/open.png
408,18,open,2025-03-28 18:27:12,/static/images/open.png
409,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
410,23,open,2025-03-28 17:45:34,/static/images/open.png
411,6,sever_traffic_jam,2025-03-28 17:47:03,/static/images/traffic.png
412,7,closed,2025-03-28 17:51:22,/static/images/closed.png
413,7,closed,2025-03-28 17:53:22,/static/images/closed.png
414,3,open,2025-03-28 18:06:52,/static/images/open.png
415,9,closed,2025-03-28 18:07:36,/static/images/closed.png
416,23,closed,2025-03-28 18:10:12,/static/images/closed.png
417,12,open,2025-03-28 18:11:04,/static/images/open.png
418,14,open,2025-03-28 18:20:18,/static/images/open.png
419,18,open,2025-03-28 18:27:12,/static/images/open.png
420,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
421,6,sever_traffic_jam,2025-03-28 17:47:03,/static/images/traffic.png
422,7,closed,2025-03-28 17:51:22,/static/images/closed.png
423,7,closed,2025-03-28 17:53:22,/static/images/closed.png
424,3,open,2025-03-28 18:06:52,/static/images/open.png
425,9,closed,2025-03-28 18:07:36,/static/images/closed.png
426,23,closed,2025-03-28 18:10:12,/static/images/closed.png
427,12,open,2025-03-28 18:11:04,/static/images/open.png
428,14,open,2025-03-28 18:20:18,/static/images/open.png
429,18,open,2025-03-28 18:27:12,/static/images/open.png
430,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
431,24,open,2025-03-28 18:43:17,/static/images/open.png
432,1,closed,2025-03-28 18:45:42,/static/images/closed.png
433,3,open,2025-03-28 18:06:52,/static/images/open.png
434,9,closed,2025-03-28 18:07:36,/static/images/closed.png
435,23,closed,2025-03-28 18:10:12,/static/images/closed.png
436,12,open,2025-03-28 18:11:04,/static/images/open.png
437,14,open,2025-03-28 18:20:18,/static/images/open.png
438,18,open,2025-03-28 18:27:12,/static/images/open.png
